state,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,status_of_reopening,bar_closures,emergency_declaration,TotalPop,discuss,discussOppose,reducetax,reducetaxOppose,CO2limits,CO2limitsOppose,localofficials,localofficialsOppose,governor,governorOppose,congress,congressOppose,president,presidentOppose,corporations,corporationsOppose,citizens,citizensOppose,regulate,regulateOppose,supportRPS,supportRPSOppose,drilloffshore,drilloffshoreOppose,drillANWR,drillANWROppose,fundrenewables,fundrenewablesOppose,rebates,rebatesOppose,mediaweekly,mediaweeklyOppose,prienv,prienvOppose,teachGW,teachGWOppose,happening,happeningOppose,human,humanOppose,consensus,consensusOppose,worried,worriedOppose,personal,personalOppose,harmUS,harmUSOppose,devharm,devharmOppose,futuregen,futuregenOppose,harmplants,harmplantsOppose,timing,timingOppose,affectweather,affectweatherOppose,score.x,score.y
New Jersey,-40.64341085,-9.558139535,66.18604651,-53.04651163,-44.10852713,17.9379845,Paused,Closed,Yes,6905643,36.515,63.422,72.864,26.752,75.522,23.841,59.435,14.753,60.602,15.429,67.286,15.727,63.398,10.42,74.073,10.221,68.515,10.204,77.26,21.771,66.003,32.755,48.01,51.698,28.72,70.919,84.802,14.371,83.627,14.956,30.477,68.009,72.503,23.389,80.611,18.91,71.355,12.337,58.466,29.95,58.309,22.843,66.02,33.92,45.128,46.378,62.147,28.988,68.422,21.865,73.259,17.317,74.474,16.733,51.612,48.388,66.256,5.507,60.55483333,60.55483333
New Mexico,-23.03100775,0.759689922,16.3875969,-17.45736434,-34.44186047,11.91472868,New Restrictions Imposed,Closed,Yes,1580919,38.833,61.192,60.484,39.126,66.705,32.866,55.025,17.4,54.134,18.69,60.64,22.083,59.513,13.653,69.872,12.121,64.353,12.651,71.324,28.306,60.296,39.701,49.701,49.484,34.805,65.415,82.248,17.359,80.852,18.618,36.239,61.836,71.69,26.309,73.1,26.967,67.854,15.675,53.639,31.283,54.154,25.034,61.56,38.542,45.355,46.92,58.601,32.025,65.208,25.61,67.993,21.586,69.417,21.994,47.872,52.128,59.077,6.581,56.88366667,56.88366667
New York,-43.73643411,-9.953488372,22.36434109,-55.98449612,-44.62790698,17.04651163,Proceeding with Reopening,Reopened,Yes,15471048,39.504,60.161,74.941,24.516,74.815,23.952,61.199,13.977,62.183,14.224,66.29,13.706,64.954,8.823,74.11,9.735,68.71,9.322,78.528,19.74,66.953,31.804,50.636,48.78,27.256,71.305,86.697,12.39,84.389,14.891,33.395,65.145,73.84,23.628,82.675,16.919,73.889,11.16,57.382,30.207,58.148,21.908,68.816,30.943,47.104,44.753,64.195,27.248,67.86,21.574,73.168,16.695,74.893,16.519,54.383,45.617,68.325,4.957,61.46883333,61.46883333
North Carolina,-21.33333333,-1.410852713,42.06976744,-31.99224806,-33.34108527,10.95348837,Paused,Closed,Yes,7653002,33.939,66.038,65.521,34.068,68.078,30.932,57.343,16.228,57.389,17.196,59.805,20.12,59.904,13.835,67.763,13.005,62.691,13.218,71.795,27.165,61.355,37.907,56.461,43.426,37.329,62.097,83.117,16.164,80.392,19.027,29.291,69.288,68.097,29.718,76.143,23.41,65.966,16.187,51.188,33.166,50.142,25.698,57.653,42.332,41.1,48.314,55.327,33.227,60.419,27.425,65.209,22.947,67.337,22.165,47.093,52.907,58.256,6.916,53.4365,53.4365
North Dakota,-16.95348837,-0.263565891,99.10743802,-14.05426357,-25.49612403,9.046511628,Reopened,Reopened,Yes,568445,30.309,69.43,52.67,47.432,51.233,48.793,44.472,19.613,42.898,21.15,45.222,27.727,48.917,19.329,61.976,13.057,55.296,13.42,64.979,33.726,53.131,46.297,62.988,37.128,42.697,56.093,82.242,17.487,79.239,20.226,31.159,67.548,68.509,29.863,63.54,36.548,55.351,27.456,39.903,43.016,40.44,34.746,48.885,50.936,30.19,61.933,44.707,46.485,48.96,39.447,58.194,33.736,59.011,34.483,34.08,65.92,45.738,10.312,43.71983333,43.71983333
Ohio,-20.33333333,-1.627906977,118.5813953,-14.44186047,-34.26356589,11.04651163,Proceeding with Reopening,Reopened,Yes,8947081,32.201,67.716,63.57,36.645,61.753,37.522,54.323,16.169,56.379,16.015,58.739,19.848,57.776,14.11,68.292,11.968,61.785,12.797,70.992,27.914,61.186,38.197,58.553,41.285,39.13,61.27,82.666,16.791,80.273,19.418,30.852,67.617,65.91,32.174,73.401,26.2,62.992,18.914,50.037,34.942,49.159,27.973,53.424,46.624,37.95,53.453,53.049,37.137,57.772,30.822,63.806,26.087,64.491,25.889,43.847,56.153,55.801,8.014,51.2375,51.2375
Oklahoma,-12.06976744,4.589147287,52.51937984,-5.15503876,-29.53488372,8.906976744,Reopened,Reopened,Yes,2923264,30.773,69.024,59.043,40.506,59.621,39.958,51.015,18.942,49.86,20.166,52.758,27.55,51.874,20.339,61.913,14.028,57.684,14.794,65.134,34.868,55.786,43.375,60.049,39.417,41.153,56.586,78.258,21.839,77.639,21.028,29.605,68.933,63.612,31.69,71.476,28.004,58.653,23.772,46.217,38.207,40.468,32.351,51.636,48.324,35.552,54.795,50.174,39.824,53.249,34.847,58.329,31.236,59.886,30.934,40.524,59.476,47.093,9.936,47.06266667,47.06266667
Oregon,-25.26356589,-3.023255814,58.60465116,-29.86046512,-36.94573643,11.20930233,New Restrictions Imposed,New Service Limits,Yes,3120872,41.173,58.642,63.875,35.947,67.997,31.401,56.059,18.526,53.171,21.397,61.785,22.079,60.216,14.424,69.946,12.938,65.347,13.037,71.983,27.695,62.718,36.126,43.579,55.241,29.533,70.453,82.389,16.842,80.897,18.484,41.407,57.072,69.953,27.778,77.328,22.424,69.347,16.413,53.811,32.421,56.71,26.505,59.836,39.97,42.121,51.642,58.642,34.51,66.705,26.638,69.395,22.651,71.636,22.142,48.958,51.042,60.544,7.445,56.7525,56.7525
Pennsylvania,-28.59689922,-8.178294574,58.89922481,-40.0620155,-38.35658915,13.3875969,New Restrictions Imposed,Newly Closed,Yes,10079709,33.079,66.868,66.762,33.011,66.147,33.33,55.474,16.677,56.281,17.426,58.915,19.628,59.907,13.28,68.952,11.466,62.929,11.972,73.265,25.482,60.563,38.888,55.099,43.829,33.551,65.84,82.321,17.16,81.244,17.997,29.587,68.908,69.525,27.584,75.982,23.602,65.212,17.356,51.63,33.92,50.994,26.656,58.907,41.146,39.454,52.029,55.441,35.134,60.09,29.267,65.999,24.435,67.245,23.522,45.891,54.109,57.421,7.279,53.7375,53.7375
Rhode Island,-22.00775194,-8.015503876,133.3203125,-46.09302326,-37.34883721,13.47286822,Proceeding with Reopening,Reopened,Yes,842085,37.952,62.284,65.255,35.217,69.379,29.23,57.869,16.592,59.157,14.948,62.189,17.677,62.65,11.501,70.511,12.673,64.571,12.882,74.051,25.696,66.563,33.15,51.78,49.047,31.5,69.75,83.813,16.5,81.225,18.627,37.098,61.761,69.621,28.902,75.693,24.089,68.74,15.723,55.683,30.828,56.238,24.077,61.692,38.422,42.908,49.55,59.445,33.836,64.896,27.251,70.301,22.331,70.505,22.382,48.771,51.229,63.079,6.725,57.71116667,57.71116667
